reference	substance_name	receptor	cell_line	measurement	assay_params	value	units	significant	info	retigabine_site	ICA27243_site
(Kumar, 2016, 10.1124/mol.115.103200)	retigabine	KCNQ2/3	CHO	Whole-Cell Patch Clamp	EC50	3.3	uM	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	SF-0034	KCNQ2/3	CHO	Whole-Cell Patch Clamp	EC50	0.06	uM	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR561_40	KCNQ2/3	CHO	Whole-Cell Patch Clamp	EC50	0.91	uM	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR561_50	KCNQ2/3	CHO	Whole-Cell Patch Clamp	EC50	0.74	uM	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR561_29	KCNQ2/3	CHO	Whole-Cell Patch Clamp	EC50	0.76	uM	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR561_45	KCNQ2/3	CHO	Whole-Cell Patch Clamp	EC50	1.34	uM	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR579_38	KCNQ2/3	CHO	Whole-Cell Patch Clamp	EC50	2.55	uM	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR579_46	KCNQ2/3	CHO	Whole-Cell Patch Clamp	EC50	3.53	uM	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR561_87	KCNQ2/3	CHO	Whole-Cell Patch Clamp	EC50	4.03	uM	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR579_04	KCNQ2/3	CHO	Whole-Cell Patch Clamp	EC50	NULL	NA	NA	Not Shifted	0	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR561_62	KCNQ2/3	CHO	Whole-Cell Patch Clamp	EC50	1.48	uM	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR579_45	KCNQ2/3	CHO	Whole-Cell Patch Clamp	EC50	4.49	uM	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR579_36	KCNQ2/3	CHO	Whole-Cell Patch Clamp	EC50	NULL	NA	NA	Not Shifted	0	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	RL673_02	KCNQ2/3	CHO	Whole-Cell Patch Clamp	EC50	0.88	uM	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	RL648_86	KCNQ2/3	CHO	Whole-Cell Patch Clamp	EC50	0.34	uM	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	RL648_73	KCNQ2/3	CHO	Whole-Cell Patch Clamp	EC50	0.3	uM	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	RL648_81	KCNQ2/3	CHO	Whole-Cell Patch Clamp	EC50	0.19	uM	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	retigabine	KCNQ2/3	CHO	Whole-Cell Patch Clamp	ΔV1/2	33.9	mV	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	SF-0034	KCNQ2/3	CHO	Whole-Cell Patch Clamp	ΔV1/2	50.1	mV	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR561_40	KCNQ2/3	CHO	Whole-Cell Patch Clamp	ΔV1/2	50.9	mV	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR561_50	KCNQ2/3	CHO	Whole-Cell Patch Clamp	ΔV1/2	39.6	mV	NA	NA	1	NULL
(Kumar, 2016, 10.1124/mol.115.103200)	NR561_29	KCNQ2/3	CHO	Whole-Cell Patch Clamp	ΔV1/2	27.8	mV	NA	NA	1	NULL
