substance_class	substance_source	substance_name	substance_smiles	substance_zinc_id	substance_iupac	substance_binding_site	measurement	activity_KCNQ1_uM	activity_KCNQ1_KCNE1_uM	activity_KCNQ2_uM	activity_KCNQ3_uM	activity_KCNQ2_KCNQ3_uM	activity_KCNQ4_uM	activity_KCNQ5_uM	activity_KCNQ3_KCNQ5_uM	activity_hERG_uM	activity_GABAA_uM	reference	status	comment
retigabine Related	retigabine	retigabine	CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N	ZINC16154	ethyl N-[2-amino-4-[(4-fluorophenyl)methylamino]phenyl]carbamate	retigabine	activator	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Rostock, 1996, 10.1016/0920-1211(95)00101-8)	NA	NA
retigabine Related	flupirtine	flupirtine	CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N	ZINC1473	ethyl N-[2-amino-6-[(4-fluorophenyl)methylamino]pyridin-3-yl]carbamate	retigabine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Szelenyi, 2013, 10.1007/s00011-013-0592-5)	NA	review, no reported activities
NA	retigabine	retigabine	CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N	ZINC16154	ethyl N-[2-amino-4-[(4-fluorophenyl)methylamino]phenyl]carbamate	retigabine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Kumar, 2016, 10.1124/mol.115.103200)	NA	NA
NA	NA	SF-0034	CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)c(F)c1N	ZINC143342783	NA	retigabine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Kumar, 2016, 10.1124/mol.115.103200)	NA	NA
NA	Kumar_Jun2016	NR561_40	CCOC(=O)Nc2ccc(NCc1ccc(C(F)(F)F)cc1)cc2N	NA	ethyl N-[2-amino-4-[[4-(trifluoromethyl)phenyl]methylamino]phenyl]carbamate	retigabine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Kumar, 2016, 10.1124/mol.115.103200)	NA	NA
NA	Kumar_Jun2016	NR561_50	CCOC(=O)Nc2ccc(NCc1cccc(C(F)(F)F)c1)cc2N	NA	NA	retigabine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Kumar, 2016, 10.1124/mol.115.103200)	NA	NA
NA	Kumar_Jun2016	NR561_29	CCOC(=O)Nc2ccc(NCc1ccc(S(F)(F)(F)(F)F)cc1)cc2N	NA	NA	retigabine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Kumar, 2016, 10.1124/mol.115.103200)	NA	NA
NA	Kumar_Jun2016	NR561_45	CCOC(=O)Nc2ccc(NCc1cccc(S(F)(F)(F)(F)F)c1)cc2N	NA	NA	retigabine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Kumar, 2016, 10.1124/mol.115.103200)	NA	NA
NA	Kumar_Jun2016	NR579_38	CCOC(=O)Nc2ccc(NCc1nccs1)cc2N	NA	NA	retigabine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Kumar, 2016, 10.1124/mol.115.103200)	NA	NA
NA	Kumar_Jun2016	NR579_46	CCOC(=O)Nc2ccc(NCc1cccs1)cc2N	NA	ethyl N-[2-amino-4-(thiophen-2-ylmethylamino)phenyl]carbamate	retigabine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Kumar, 2016, 10.1124/mol.115.103200)	NA	NA
NA	Kumar_Jun2016	NR561_87	[2H]C([2H])(Nc1ccc(NC(=O)OCC)c(N)c1)c2ccc(F)cc2	NA	NA	retigabine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Kumar, 2016, 10.1124/mol.115.103200)	NA	NA
NA	Kumar_Jun2016	NR579_04	CCOC(=O)Nc2ccc(NC(c1ccccc1)C(F)(F)F)cc2N	NA	NA	retigabine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Kumar, 2016, 10.1124/mol.115.103200)	NA	NA
NA	Kumar_Jun2016	NR561_62	CC(C)OC(=O)Nc2ccc(NCc1ccc(F)cc1)cc2N	NA	NA	retigabine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Kumar, 2016, 10.1124/mol.115.103200)	NA	NA
NA	Kumar_Jun2016	NR579_45	CC3(COC(=O)Nc2ccc(NCc1ccc(F)cc1)cc2N)COC3	NA	NA	retigabine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Kumar, 2016, 10.1124/mol.115.103200)	NA	NA
NA	Kumar_Jun2016	NR579_36	CC3(CS(=O)CCOC(=O)Nc2ccc(NCc1ccc(F)cc1)cc2N)COC3	NA	NA	retigabine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Kumar, 2016, 10.1124/mol.115.103200)	NA	NA
NA	Kumar_Jun2016	RL673_02	CCOC(=O)Nc2ccc(NCc1cccc(S(F)(F)(F)(F)F)c1)c(F)c2N	NA	NA	retigabine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Kumar, 2016, 10.1124/mol.115.103200)	NA	NA
NA	Kumar_Jun2016	RL648_86	CC(C)OC(=O)Nc2ccc(NCc1ccc(F)cc1)c(F)c2N	NA	NA	retigabine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(Kumar, 2016, 10.1124/mol.115.103200)	NA	NA
