userId	geneSymbol	geneName	entrezgene	gLink
NDUFS5	NDUFS5	NADH:ubiquinone oxidoreductase subunit S5	4725	https://www.ncbi.nlm.nih.gov/gene/?term=4725
CCN1	CCN1	cellular communication network factor 1	3491	https://www.ncbi.nlm.nih.gov/gene/?term=3491
TXNIP	TXNIP	thioredoxin interacting protein	10628	https://www.ncbi.nlm.nih.gov/gene/?term=10628
S100A13	S100A13	S100 calcium binding protein A13	6284	https://www.ncbi.nlm.nih.gov/gene/?term=6284
OST4	OST4	oligosaccharyltransferase complex subunit 4, non-catalytic	100128731	https://www.ncbi.nlm.nih.gov/gene/?term=100128731
TMSB10	TMSB10	thymosin beta 10	9168	https://www.ncbi.nlm.nih.gov/gene/?term=9168
LMCD1	LMCD1	LIM and cysteine rich domains 1	29995	https://www.ncbi.nlm.nih.gov/gene/?term=29995
RBP1	RBP1	retinol binding protein 1	5947	https://www.ncbi.nlm.nih.gov/gene/?term=5947
IGFBP7	IGFBP7	insulin like growth factor binding protein 7	3490	https://www.ncbi.nlm.nih.gov/gene/?term=3490
PAPSS1	PAPSS1	3'-phosphoadenosine 5'-phosphosulfate synthase 1	9061	https://www.ncbi.nlm.nih.gov/gene/?term=9061
TDO2	TDO2	tryptophan 2,3-dioxygenase	6999	https://www.ncbi.nlm.nih.gov/gene/?term=6999
TGFBI	TGFBI	transforming growth factor beta induced	7045	https://www.ncbi.nlm.nih.gov/gene/?term=7045
EGR1	EGR1	early growth response 1	1958	https://www.ncbi.nlm.nih.gov/gene/?term=1958
DPYSL3	DPYSL3	dihydropyrimidinase like 3	1809	https://www.ncbi.nlm.nih.gov/gene/?term=1809
SPARC	SPARC	secreted protein acidic and cysteine rich	6678	https://www.ncbi.nlm.nih.gov/gene/?term=6678
DUSP1	DUSP1	dual specificity phosphatase 1	1843	https://www.ncbi.nlm.nih.gov/gene/?term=1843
PDLIM7	PDLIM7	PDZ and LIM domain 7	9260	https://www.ncbi.nlm.nih.gov/gene/?term=9260
CCN2	CCN2	cellular communication network factor 2	1490	https://www.ncbi.nlm.nih.gov/gene/?term=1490
ACTB	ACTB	actin beta	60	https://www.ncbi.nlm.nih.gov/gene/?term=60
TPM2	TPM2	tropomyosin 2	7169	https://www.ncbi.nlm.nih.gov/gene/?term=7169
ANGPTL2	ANGPTL2	angiopoietin like 2	23452	https://www.ncbi.nlm.nih.gov/gene/?term=23452
ACTA2	ACTA2	actin alpha 2, smooth muscle	59	https://www.ncbi.nlm.nih.gov/gene/?term=59
IFITM2	IFITM2	interferon induced transmembrane protein 2	10581	https://www.ncbi.nlm.nih.gov/gene/?term=10581
POLR2L	POLR2L	RNA polymerase II subunit L	5441	https://www.ncbi.nlm.nih.gov/gene/?term=5441
NNMT	NNMT	nicotinamide N-methyltransferase	4837	https://www.ncbi.nlm.nih.gov/gene/?term=4837
TAGLN	TAGLN	transgelin	6876	https://www.ncbi.nlm.nih.gov/gene/?term=6876
TUBA1B	TUBA1B	tubulin alpha 1b	10376	https://www.ncbi.nlm.nih.gov/gene/?term=10376
KRT8	KRT8	keratin 8	3856	https://www.ncbi.nlm.nih.gov/gene/?term=3856
KRT18	KRT18	keratin 18	3875	https://www.ncbi.nlm.nih.gov/gene/?term=3875
MYL6	MYL6	myosin light chain 6	4637	https://www.ncbi.nlm.nih.gov/gene/?term=4637
GLIPR1	GLIPR1	GLI pathogenesis related 1	11010	https://www.ncbi.nlm.nih.gov/gene/?term=11010
CSRP2	CSRP2	cysteine and glycine rich protein 2	1466	https://www.ncbi.nlm.nih.gov/gene/?term=1466
ACTN1	ACTN1	actinin alpha 1	87	https://www.ncbi.nlm.nih.gov/gene/?term=87
FOS	FOS	Fos proto-oncogene, AP-1 transcription factor subunit	2353	https://www.ncbi.nlm.nih.gov/gene/?term=2353
TPM1	TPM1	tropomyosin 1	7168	https://www.ncbi.nlm.nih.gov/gene/?term=7168
MVP	MVP	major vault protein	9961	https://www.ncbi.nlm.nih.gov/gene/?term=9961
TUBB3	TUBB3	tubulin beta 3 class III	10381	https://www.ncbi.nlm.nih.gov/gene/?term=10381
JPT1	JPT1	Jupiter microtubule associated homolog 1	51155	https://www.ncbi.nlm.nih.gov/gene/?term=51155
SOCS3	SOCS3	suppressor of cytokine signaling 3	9021	https://www.ncbi.nlm.nih.gov/gene/?term=9021
CNN2	CNN2	calponin 2	1265	https://www.ncbi.nlm.nih.gov/gene/?term=1265
PLIN3	PLIN3	perilipin 3	10226	https://www.ncbi.nlm.nih.gov/gene/?term=10226
JUNB	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit	3726	https://www.ncbi.nlm.nih.gov/gene/?term=3726
IER2	IER2	immediate early response 2	9592	https://www.ncbi.nlm.nih.gov/gene/?term=9592
TPM4	TPM4	tropomyosin 4	7171	https://www.ncbi.nlm.nih.gov/gene/?term=7171
ZFP36	ZFP36	ZFP36 ring finger protein	7538	https://www.ncbi.nlm.nih.gov/gene/?term=7538
FOSB	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit	2354	https://www.ncbi.nlm.nih.gov/gene/?term=2354
MYL9	MYL9	myosin light chain 9	10398	https://www.ncbi.nlm.nih.gov/gene/?term=10398
TIMP1	TIMP1	TIMP metallopeptidase inhibitor 1	7076	https://www.ncbi.nlm.nih.gov/gene/?term=7076
